Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"69589","2020-03-12 16:07:52","1","26","<machine-learning><feature-engineering><evaluation>","1",""
"69590","2020-03-12 16:09:33","2","173","<recommender-system><evaluation>","2",""
"69591","2020-03-12 16:24:04","1","10","<machine-learning><optimization>","0",""
"69592","2020-03-12 16:30:27","1","21","<clustering><predictive-modeling><anomaly-detection>","0",""
"69594","2020-03-12 17:01:34","0","59","<classification><pca><tsne>","2","1"
"69599","2020-03-12 19:35:56","2","53","<deep-learning><audio-recognition><one-hot-encoding>","1",""
"69603","2020-03-12 19:48:43","3","158","<machine-learning><logistic-regression><svm>","2",""
"69606","2020-03-12 21:00:53","1","27","<dataset>","0",""
"69608","2020-03-12 21:14:50","1","57","<machine-learning><scikit-learn><nlp>","1",""
"69610","2020-03-12 22:21:30","0","42","<linear-regression>","1",""
"69611","2020-03-12 22:37:03","0","23","<logistic-regression><math><softmax>","1",""
"69613","2020-03-12 23:57:08","1","179","<visualization><plotting><bokeh>","0",""
"69614","2020-03-13 00:24:17","0","69","<deep-learning><training>","3",""
"69617","2020-03-13 02:06:32","1","28","<machine-learning><decision-trees><algorithms><optimization>","1",""
"69622","2020-03-13 07:49:59","5","645","<machine-learning><deep-learning><classification><data-mining><dataset>","2",""
"69623","2020-03-13 08:11:08","0","328","<deep-learning><keras><tensorflow><jupyter>","0",""
"69625","2020-03-13 08:42:58","1","237","<python><deep-learning><lstm><numpy><recurrent-neural-net>","1",""
"69626","2020-03-13 08:48:56","2","145","<decision-trees><feature-engineering><feature-extraction><kaggle><coursera>","1","1"
"69628","2020-03-13 09:17:01","0","191","<keras><data-augmentation><python-3.x>","1",""
"69637","2020-03-13 12:45:09","1","27","<classification><random-forest><prediction>","1",""
"69639","2020-03-13 12:55:31","1","90","<deep-learning><nlp><allennlp>","0",""
"69640","2020-03-13 13:32:57","3","843","<python><named-entity-recognition><bert>","1",""
"69643","2020-03-13 14:19:31","0","1837","<machine-learning><python><keras><scikit-learn>","1","1"
"69645","2020-03-13 15:05:38","1","16","<deep-learning><image-classification>","0",""
"69656","2020-03-13 18:04:40","1","24","<multiclass-classification><overfitting>","0","1"
"69657","2020-03-13 18:04:46","0","57","<machine-learning><classification><image-classification><multiclass-classification>","1",""
"69660","2020-03-13 19:07:36","1","81","<machine-learning><r><random-forest><cross-validation>","1",""
"69661","2020-03-13 19:09:39","3","1615","<regression><linear-regression>","3",""
"69663","2020-03-13 19:30:52","0","47","<machine-learning><keras><scikit-learn>","1",""
"69664","2020-03-13 19:36:17","0","274","<keras><multilabel-classification>","1","1"
"69666","2020-03-13 20:00:16","1","38","<r><linear-regression><bayesian>","0",""
"69671","2020-03-13 21:59:08","1","26","<machine-learning><feature-engineering><anomaly-detection><outlier>","0",""
"69675","2020-03-14 02:49:54","6","102","<statistics><distance><self-study>","2",""
"69677","2020-03-14 03:09:07","0","51","<machine-learning><rmse>","1",""
"69679","2020-03-14 07:26:23","4","114","<machine-learning><python><predictive-modeling><statistics>","2","1"
"69680","2020-03-14 07:56:27","2","16","<machine-learning><python><nlp><probability><natural-language-process>","0",""
"69681","2020-03-14 09:18:05","1","17","<python><nlp>","0",""
"69683","2020-03-14 12:27:09","-3","44","<machine-learning><python><logistic-regression>","1",""
"69687","2020-03-14 14:28:12","0","295","<machine-learning><probability><naive-bayes-classifier>","1",""
"69689","2020-03-14 15:48:18","0","27","<regression><excel>","2",""
"69690","2020-03-14 16:17:01","2","410","<machine-learning><python><linear-regression><implementation>","1",""
"69693","2020-03-14 17:42:28","2","54","<machine-learning><nlp><feature-extraction><anomaly-detection><sentiment-analysis>","0","2"
"69695","2020-03-14 18:50:15","0","24","<python><keras><tensorflow><hyperparameter>","0",""
"69698","2020-03-14 22:26:22","2","29","<neural-network><convolution>","1",""
"69700","2020-03-14 22:51:36","2","121","<machine-learning><cnn><convolution>","1",""
"69701","2020-03-14 23:02:47","2","37","<machine-learning><neural-network><lstm>","1",""
"69702","2020-03-15 01:50:34","1","816","<keras>","1",""
"69704","2020-03-15 04:48:00","1","43","<machine-learning><data-cleaning><encoding><one-hot-encoding>","0",""
"69708","2020-03-15 06:29:26","3","71","<machine-learning>","2",""
